p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
sbp	hb	0.5549	1.0338	0.5368	0.5914	0.2042	0.5233	0.9988	0.013	0.0882	0.0098
sbp	wbc					-0.9144	0.5375	1.0344	0.0121	0.1487	0.0091
triglycerides	alt					-1.029	0.5813	1.0274	0.0133	0.2368	0.0106
triglycerides	creatinine										
triglycerides	dbp	0.7316	0.5389	1.3576	0.1746	0.8552	0.4356	0.9885	0.0124	0.1489	0.0095
triglycerides	drink										
triglycerides	eos	-1.3598	3.0037	-0.4527	0.6508	0.2431	0.769	0.9983	0.0187	0.1169	0.0101
triglycerides	glucose										
triglycerides	hb	0.0626	1.1675	0.0536	0.9572	0.2042	0.5233	0.9988	0.013	0.181	0.0104
triglycerides	hdl					-0.4632	0.4337	1.0215	0.0125	-0.4034	0.01
triglycerides	height	0.727	1.0998	0.6611	0.5086	0.3614	0.5811	0.9933	0.015	-0.0474	0.0101
triglycerides	ldl					-0.2165	0.4622	1.0063	0.0155	0.3838	0.0095
triglycerides	mono	-0.852	2.244	-0.3797	0.7042	0.1729	0.5328	1.0104	0.0139	0.1549	0.0094
triglycerides	plt	-0.3447	0.881	-0.3912	0.6956	0.4666	0.5916	1.0	0.0142	0.1443	0.0103
triglycerides	rbc					-2.9982	16.836	1.061	0.4035	0.1965	0.0097
triglycerides	sbp	1.0748	0.6098	1.7626	0.078	1.105	0.446	0.9865	0.0129	0.1316	0.0099
triglycerides	smoke										
triglycerides	wbc					-0.9144	0.5375	1.0344	0.0121	0.2541	0.0095
ua	alt					-1.029	0.5813	1.0274	0.0133	0.1851	0.0091
ua	ast					-0.8224	0.5602	1.016	0.0134	0.1001	0.0104
ua	bmi					0.0417	0.5059	1.0069	0.0132	0.274	0.0108
ua	bun					0.2288	0.531	1.0066	0.0132	0.1737	0.0098
ua	cholesterol					-0.3128	0.4189	1.0084	0.0131	0.0871	0.0101
ua	creatinine					0.0621	0.5271	1.0078	0.0149	0.2585	0.0107
ua	dbp					0.8552	0.4356	0.9885	0.0124	0.1072	0.0098
ua	drink										
ua	eos					0.2431	0.769	0.9983	0.0187	0.066	0.0099
ua	ggt					-0.9856	0.6272	1.0264	0.0149	0.2023	0.0093
ua	glucose					0.0051	0.47	1.0086	0.0136	0.0605	0.0103
ua	hb					0.2042	0.5233	0.9988	0.013	0.1473	0.01
ua	hdl					-0.4632	0.4337	1.0215	0.0125	-0.1614	0.0106
ua	height					0.3614	0.5811	0.9933	0.015	-0.0246	0.0099
ua	ldl					-0.2165	0.4622	1.0063	0.0155	0.127	0.0098
ua	lymph					-0.0215	0.5302	1.0203	0.0129	0.159	0.0094
ua	mono					0.1729	0.5328	1.0104	0.0139	0.135	0.0103
ua	neut					-0.7117	0.543	1.028	0.0122	0.113	0.0094
ua	plt					0.4666	0.5916	1.0	0.0142	0.0956	0.0096
ua	rbc					-2.9982	16.836	1.061	0.4035	0.1489	0.0102
ua	sbp					1.105	0.446	0.9865	0.0129	0.1019	0.0093
ua	smoke										
ua	triglycerides					0.5145	0.4428	1.0016	0.0126	0.2139	0.01
ua	waist					0.5638	0.6385	0.9971	0.0142	0.2468	0.0104
ua	wbc					-0.9144	0.5375	1.0344	0.0121	0.153	0.0097
waist	alt					-1.029	0.5813	1.0274	0.0133	0.3057	0.0092
waist	ast					-0.8224	0.5602	1.016	0.0134	0.1153	0.0092
waist	bmi										
